Claim	English URLs	论断	Mandarin URLs
societal media consumption and violent crime rates are not well associated	https://en.wikipedia.org/wiki/Research_on_the_effects_of_violence_in_mass_media	媒体暴力研究得出的结论过于夸大	https://zh.wikipedia.org/wiki/%E5%82%B3%E5%AA%92%E6%9A%B4%E5%8A%9B%E7%A0%94%E7%A9%B6
video games were protected speech under the First Amendment as other forms of media	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	电子游戏为传媒形式之一，故而受到美国宪法第一修正案的保护	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
there was a connection between video games and violence	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	暴力事件与电子游戏之间有着必然的联系	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
content-based regulations are presumptively invalid	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	基于内容审核的规章制度的前提要素应当是‘推定无罪’	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
there was no "compelling" link between violent video games and its effects on children	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	从证据上看，暴力游戏并没有对儿童造成直接的影响	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
content-based restrictions on games are unconstitutional	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	对游戏内容的审查是违宪的	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
parents, not government bureaucrats, have the right to decide what is appropriate for their children	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	父母和政府官员没有权力去决定什么对孩子是适当的	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
possible cause behind China's gender imbalance	https://en.wikipedia.org/wiki/One-child_policy	使男女性别比畸高	https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E8%AE%A1%E5%88%92%E7%94%9F%E8%82%B2
Some parents may over-indulge their only child	https://en.wikipedia.org/wiki/One-child_policy	因为只有一个后代，父母（祖父母）对孩子一般都过分骄纵	https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E8%AE%A1%E5%88%92%E7%94%9F%E8%82%B2
social problems and personality disorders in young people	https://en.wikipedia.org/wiki/One-child_policy	丧生社会生存能力，普遍以自我为中心	https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E8%AE%A1%E5%88%92%E7%94%9F%E8%82%B2
The one-child limit is too extreme. It violates nature’s law	https://en.wikipedia.org/wiki/One-child_policy	违背公民生育权	https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E8%AE%A1%E5%88%92%E7%94%9F%E8%82%B2
The social pressure exerted by the one-child policy has affected the rate at which parents abandon undesirable children	https://en.wikipedia.org/wiki/One-child_policy	性别的严重不均衡可能会在未来的二三十年之内导致严重的社会问题	https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E8%AE%A1%E5%88%92%E7%94%9F%E8%82%B2
population control can involve measures that improve people's lives	https://en.wikipedia.org/wiki/Human_population_planning	人口控制一般是为了提高生活质量	https://zh.wikipedia.org/wiki/%E4%BA%BA%E5%8F%A3%E6%8E%A7%E5%88%B6
only children are spoiled	https://en.wikipedia.org/wiki/Only_child	独生子女，指没有兄弟姐妹的人	https://zh.wikipedia.org/wiki/%E7%8B%AC%E7%94%9F%E5%AD%90%E5%A5%B3
only children have aversive social skills	https://en.wikipedia.org/wiki/Only_child	独生子女缺乏社会性	https://zh.wikipedia.org/wiki/%E7%8B%AC%E7%94%9F%E5%AD%90%E5%A5%B3
only children are higher in achievement motivation	https://en.wikipedia.org/wiki/Only_child	成就动机较高	https://zh.wikipedia.org/wiki/%E7%8B%AC%E7%94%9F%E5%AD%90%E5%A5%B3
Only children are also more likely to make outside friends	https://en.wikipedia.org/wiki/Only_child	独生子女较容易对他人产生信赖感，对朋友也较为体贴	https://zh.wikipedia.org/wiki/%E7%8B%AC%E7%94%9F%E5%AD%90%E5%A5%B3
a decrease in the human population would prevent a significant amount of man-made human suffering	https://en.wikipedia.org/wiki/Voluntary_Human_Extinction_Movement	减少人口就能显著减少人为因素造成的苦难	https://zh.wikipedia.org/wiki/%E4%BA%BA%E7%B1%BB%E8%87%AA%E6%84%BF%E7%81%AD%E7%BB%9D%E8%BF%90%E5%8A%A8
it contributes to forced abortions	https://en.wikipedia.org/wiki/Human_rights_in_China	强迫超生的孕妇堕胎	https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E4%BA%BA%E6%9D%83
Parents have a basic human right to determine freely and responsibly the number and the spacing of their children	https://en.wikipedia.org/wiki/Reproductive_rights	父母享有自由负责决定子女人数及其出生时距之基本人权	https://zh.wikipedia.org/wiki/%E7%94%9F%E8%82%B2%E6%9D%83
Parents have a basic right to decide freely and responsibly on the number and spacing of their children	https://en.wikipedia.org/wiki/Reproductive_rights	父母享有自由负责决定子女人数及其出生时距之基本人权	https://zh.wikipedia.org/wiki/%E7%94%9F%E8%82%B2%E6%9D%83
Parents have the exclusive right to determine freely and responsibly the number and spacing of their children	https://en.wikipedia.org/wiki/Reproductive_rights	父母有自由并负责决定其子女人数及生育间距之专有权利	https://zh.wikipedia.org/wiki/%E7%94%9F%E8%82%B2%E6%9D%83
China's gender imbalance is further increased by the One Child Policy	https://en.wikipedia.org/wiki/Sex_selection	“一胎化政策”已经造成社会性别不平衡	https://zh.wikipedia.org/wiki/%E6%80%A7%E5%88%A5%E9%81%B8%E6%93%87
The use of drugs to enhance performance is considered unethical by most international sports organizations	https://en.wikipedia.org/wiki/Doping_in_sport	利用药物来提高成绩被大多数国际体育组织包括国际奥委会认为是不道德的	https://zh.wikipedia.org/wiki/%E9%AB%94%E8%82%B2%E7%A6%81%E8%97%A5
Introducing students to activities like bowling, walking/hiking, or Frisbee at an early age can help students develop good activity habits that will carry over into adulthood	https://en.wikipedia.org/wiki/Physical_education	例如各种球类运动、郊游等，从较早时期就开始培养学生良好的运动习惯，并使其在成人阶段从中受益	https://zh.wikipedia.org/wiki/%E4%BD%93%E8%82%B2
Teaching non-traditional sports to students may also provide the necessary motivation for students to increase their activity, and can help students learn about different cultures	https://en.wikipedia.org/wiki/Physical_education	一些非传统的体育项目的教学则可以提高学生参加体育活动的积极性，并让学生从中感受不同的文化	https://zh.wikipedia.org/wiki/%E4%BD%93%E8%82%B2
Frequent and regular physical exercise boosts the immune system	https://en.wikipedia.org/wiki/Physical_exercise	规律而定时的进行体能训练有助于活化身体的免疫系统	https://zh.wikipedia.org/wiki/%E9%AB%94%E8%83%BD%E9%8D%9B%E7%85%89
It also improves mental health	https://en.wikipedia.org/wiki/Physical_exercise	它也可能改善心理健康	https://zh.wikipedia.org/wiki/%E9%AB%94%E8%83%BD%E9%8D%9B%E7%85%89
people can improve their health via exercise	https://en.wikipedia.org/wiki/Health	运动可以维持或增强体适能，也可以促进健康	https://zh.wikipedia.org/wiki/%E5%81%A5%E5%BA%B7
a lack of physical activity is thought to explain most cases of obesity	https://en.wikipedia.org/wiki/Obesity	运动不足可以解释大多数肥胖者的发胖	https://zh.wikipedia.org/wiki/%E8%82%A5%E8%83%96%E7%97%87
A sedentary lifestyle plays a significant role in obesity	https://en.wikipedia.org/wiki/Obesity	坐式生活型态在肥胖症的发病过程中起重要作用	https://zh.wikipedia.org/wiki/%E8%82%A5%E8%83%96%E7%97%87
Excess weight has reached epidemic proportions globally	https://en.wikipedia.org/wiki/Overweight	过重已经达到流行性的程度	https://zh.wikipedia.org/wiki/%E8%B6%85%E9%87%8D
children learn best with freedom from coercion	https://en.wikipedia.org/wiki/Summerhill_School	儿童的学习在不受胁迫的自由状态最好	https://zh.wikipedia.org/wiki/%E5%A4%8F%E5%B1%B1%E5%AD%A6%E6%A0%A1
affirmative action is "reverse discrimination	https://en.wikipedia.org/wiki/Affirmative_action	这种措施也时常引起逆向歧视等争议	https://zh.wikipedia.org/wiki/%E8%82%AF%E5%AE%9A%E6%80%A7%E8%A1%8C%E5%8A%A8
“merit" itself should be a primary consideration during evaluation	https://en.wikipedia.org/wiki/Meritocracy	“绩效”本身应该是一种主要的评估方式	https://zh.wikipedia.org/wiki/%E7%B2%BE%E8%8B%B1%E6%94%BF%E6%B2%BB
discrimination inherent in affirmative action programs	https://en.wikipedia.org/wiki/Reverse_discrimination	这种情况比较可能发生在执行积极平权措施的时候	https://zh.wikipedia.org/wiki/%E9%80%86%E5%90%91%E6%AD%A7%E8%A6%96
The impetus towards affirmative action is to redress the disadvantages associated with overt historical discrimination	https://en.wikipedia.org/wiki/Affirmative_action_in_the_United_States	美国政府自1960年代推动扶持行动，以纠正历史上与之相关的有明显歧视的缺点	https://zh.wikipedia.org/wiki/%E7%BE%8E%E5%9B%BD%E7%9A%84%E5%B9%B3%E6%9D%83%E6%B3%95%E6%A1%88
have been criticised as a form of reverse discrimination	https://en.wikipedia.org/wiki/Affirmative_action_in_the_United_States	被批评为“逆向歧视”（Reverse Discrimination）的一种形式	https://zh.wikipedia.org/wiki/%E7%BE%8E%E5%9B%BD%E7%9A%84%E5%B9%B3%E6%9D%83%E6%B3%95%E6%A1%88
Gambling is also a major international commercial activity	https://en.wikipedia.org/wiki/Gambling	赌博也是国际上主要的商业活动之一	https://zh.wikipedia.org/zh-cn/%E8%B5%8C%E5%8D%9A
there is no moral impediment to gambling	https://en.wikipedia.org/wiki/Gambling	赌博没有道德上的问题	https://zh.wikipedia.org/zh-cn/%E8%B5%8C%E5%8D%9A
most legal jurisdictions limit gambling	https://en.wikipedia.org/wiki/Gambling	大部分国家都有法令加以限制	https://zh.wikipedia.org/zh-cn/%E8%B5%8C%E5%8D%9A
legal gambling provides significant government revenue	https://en.wikipedia.org/wiki/Gambling	博彩税是政府重要的收入来源	https://zh.wikipedia.org/zh-cn/%E8%B5%8C%E5%8D%9A
many people participate in gambling as a form of recreation or even as a means to gain an income	https://en.wikipedia.org/wiki/Gambling	尽管许多人把赌博当成一种娱乐，甚至一种手段来获得收入	https://zh.wikipedia.org/zh-cn/%E8%B5%8C%E5%8D%9A
leads to adverse consequences for the gambler, others, or for the community	https://en.wikipedia.org/wiki/Problem_gambling	在于赌徒或其他人受到伤害	https://zh.wikipedia.org/zh-cn/%E8%B3%AD%E5%8D%9A%E6%88%90%E7%99%AE
pathological gambling is an addiction similar to chemical addiction	https://en.wikipedia.org/wiki/Problem_gambling	病态赌博属于一种冲动控制的问题，患者往往出现与其他滥用药物患者相同的病征	https://zh.wikipedia.org/zh-cn/%E8%B3%AD%E5%8D%9A%E6%88%90%E7%99%AE
Pathological gambling is similar to many other impulse control disorders	https://en.wikipedia.org/wiki/Problem_gambling	病态赌博被归类为冲动控制问题	https://zh.wikipedia.org/zh-cn/%E8%B3%AD%E5%8D%9A%E6%88%90%E7%99%AE
prohibition of forcible return is part of customary international law	https://en.wikipedia.org/wiki/Convention_Relating_to_the_Status_of_Refugees	不得将在领土内的难民强行遣返回母国，或驱逐出境	https://zh.wikipedia.org/zh-cn/%E9%9B%A3%E6%B0%91%E5%9C%B0%E4%BD%8D%E5%85%AC%E7%B4%84
everyone can exercise the right to seek asylum and find safe refuge in another state	https://en.wikipedia.org/wiki/United_Nations_High_Commissioner_for_Refugees	允许他们在安全得到保障后选择回到本国、定居于避难地或移民至另一个国家	https://zh.wikipedia.org/zh-cn/%E8%81%94%E5%90%88%E5%9B%BD%E9%9A%BE%E6%B0%91%E7%BD%B2
The hereditary nature of the monarchy is said to conflict with egalitarianism and dislike of inherited privilege	https://en.wikipedia.org/wiki/Republicanism_in_Australia	君主制的世袭性与澳大利亚的公平主意价值和对继承特权的反感	https://zh.wikipedia.org/zh-cn/%E6%BE%B3%E5%A4%A7%E5%88%A9%E4%BA%9A%E5%85%B1%E5%92%8C%E8%BF%90%E5%8A%A8#.E5.BD.93.E4.BB.A3.E7.A4.BE.E4.BC.9A.E4.BB.B7.E5.80.BC
reliance on nuclear weapons for deterrence is becoming increasingly hazardous and decreasingly effective	https://en.wikipedia.org/wiki/Nuclear_weapons_debate	依靠核武器而存在的威慑力也正在变为增加的危害性和降低的有效性	https://zh.wikipedia.org/zh-cn/%E5%85%B3%E4%BA%8E%E6%A0%B8%E6%AD%A6%E5%99%A8%E7%9A%84%E4%BA%89%E8%AE%BA
unproven religious propositions deserve as much disbelief as all other unproven propositions	https://en.wikipedia.org/wiki/Atheism	未经证实的宗教命题应和其他的未证实命题受到同样多的怀疑	https://zh.wikipedia.org/zh-cn/%E6%97%A0%E7%A5%9E%E8%AE%BA
God and other religious beliefs are human inventions	https://en.wikipedia.org/wiki/Atheism	上帝和其他宗教信仰都是人类自身的创造	https://zh.wikipedia.org/zh-cn/%E6%97%A0%E7%A5%9E%E8%AE%BA
belief in God and religion are social functions, used by those in power to oppress the working class	https://en.wikipedia.org/wiki/Atheism	神与宗教的社会功能并作出结论，认为它们是统治阶级用来压迫劳动阶级的工具	https://zh.wikipedia.org/zh-cn/%E6%97%A0%E7%A5%9E%E8%AE%BA
the idea of God implies the abdication of human reason and justice	https://en.wikipedia.org/wiki/Atheism	神的概念暗指了人类理性和公义的缺失	https://zh.wikipedia.org/zh-cn/%E6%97%A0%E7%A5%9E%E8%AE%BA
it is the most decisive negation of human liberty	https://en.wikipedia.org/wiki/Atheism	它是对人类自由的极端否定	https://zh.wikipedia.org/zh-cn/%E6%97%A0%E7%A5%9E%E8%AE%BA
necessarily ends in the enslavement of mankind	https://en.wikipedia.org/wiki/Atheism	它都必随着人类奴役的结束而消亡	https://zh.wikipedia.org/zh-cn/%E6%97%A0%E7%A5%9E%E8%AE%BA
denying the existence of a god leads to moral relativism, leaving one with no moral or ethical foundation	https://en.wikipedia.org/wiki/Atheism	否认神的存在将会导致道德相对主义，使人不再有道德的基础	https://zh.wikipedia.org/zh-cn/%E6%97%A0%E7%A5%9E%E8%AE%BA
renders life meaningless and miserable	https://en.wikipedia.org/wiki/Atheism	让生命变得痛苦和无意义	https://zh.wikipedia.org/zh-cn/%E6%97%A0%E7%A5%9E%E8%AE%BA
religion as a human invention used to frighten people into following moral order	https://en.wikipedia.org/wiki/Atheism	把宗教看成是人类的发明，其目的是恐吓其他人，好让他们接受道德规范	https://zh.wikipedia.org/zh-cn/%E6%97%A0%E7%A5%9E%E8%AE%BA
copyright is not and has never been of net benefit to society	https://en.wikipedia.org/wiki/Opposition_to_copyright	著作权并未给社会带来纯益	https://zh.wikipedia.org/zh-cn/%E5%8F%8D%E8%91%97%E4%BD%9C%E6%AC%8A%E9%81%8B%E5%8B%95
serves to enrich a few at the expense of creativity	https://en.wikipedia.org/wiki/Opposition_to_copyright	持续造成少数人借由消费创造力而致富	https://zh.wikipedia.org/zh-cn/%E5%8F%8D%E8%91%97%E4%BD%9C%E6%AC%8A%E9%81%8B%E5%8B%95
copyright is invalid because, unlike physical property, intellectual property is not scarce	https://en.wikipedia.org/wiki/Opposition_to_copyright	著作权是无效的，因为不像实体财产，智慧财产并不具有稀少性	https://zh.wikipedia.org/zh-cn/%E5%8F%8D%E8%91%97%E4%BD%9C%E6%AC%8A%E9%81%8B%E5%8B%95
is obsolete	https://en.wikipedia.org/wiki/Opposition_to_copyright	显得过时	https://zh.wikipedia.org/zh-cn/%E5%8F%8D%E8%91%97%E4%BD%9C%E6%AC%8A%E9%81%8B%E5%8B%95
the cost of trying to enforce it is unreasonable	https://en.wikipedia.org/wiki/Opposition_to_copyright	实行著作权所需花费的成本并不合理	https://zh.wikipedia.org/zh-cn/%E5%8F%8D%E8%91%97%E4%BD%9C%E6%AC%8A%E9%81%8B%E5%8B%95
Having this information in advance of the birth means that healthcare staff as well as parents can better prepare themselves for the delivery of a child with a health problem	https://en.wikipedia.org/wiki/Prenatal_diagnosis	父母如果在婴孩诞生前知道胎儿是否正常，可以对婴孩所有健康需要好作计划和准备	https://zh.wikipedia.org/zh-cn/%E7%94%A2%E5%89%8D%E8%A8%BA%E6%96%B7
may give the option of fetal surgery during pregnancy	https://en.wikipedia.org/wiki/Prenatal_diagnosis	可选择在怀孕期间给胎儿动手术的	https://zh.wikipedia.org/zh-cn/%E7%94%A2%E5%89%8D%E8%A8%BA%E6%96%B7
rapid rates of biodiversity loss threatens the sustained well-being of humanity	https://en.wikipedia.org/wiki/Conservation_biology	快速的生物多样性流失，限制了生态系统透过基因网络以及生态系统差异而组成的自我更新功能；而这正威胁着人类的福祉	https://zh.wikipedia.org/zh-cn/%E4%BF%9D%E8%82%B2%E7%94%9F%E7%89%A9%E5%AD%B8
species are irreplaceable components of the global ecosystem	https://en.wikipedia.org/wiki/Conservation_biology	物种是全球生态系统中不可取代的组成部分	https://zh.wikipedia.org/zh-cn/%E4%BF%9D%E8%82%B2%E7%94%9F%E7%89%A9%E5%AD%B8
all species have inherent value	https://en.wikipedia.org/wiki/Biocentrism_(ethics)	所有生物的内在价值平等	https://zh.wikipedia.org/zh-cn/%E7%94%9F%E7%89%A9%E4%B8%AD%E5%BF%83%E4%B8%BB%E7%BE%A9
Google China is a flagrant violation of the Google motto, "Don't be evil	https://en.wikipedia.org/wiki/Google_China	Google违反该公司“不作恶”（Don't be evil）的精神	https://zh.wikipedia.org/zh-cn/%E8%B0%B7%E6%AD%8C%E4%B8%AD%E5%9B%BD
Google's stated mission is "to organize the world's information and make it universally accessible	https://en.wikipedia.org/wiki/Criticism_of_Google	Google称其使命是“组织全世界的信息，并使人人皆可访问	https://zh.wikipedia.org/zh-cn/%E5%B0%8DGoogle%E7%9A%84%E6%89%B9%E8%A9%95
The likelihood that a death will result is significantly increased when either the victim or the attacker has a firearm	https://en.wikipedia.org/wiki/Gun_violence_in_the_United_States	不管受害者或施害者携枪，都会导致伤亡概率大为增加	https://zh.wikipedia.org/zh-cn/%E7%BE%8E%E5%9C%8B%E6%A7%8D%E6%A2%B0%E6%9A%B4%E5%8A%9B%E5%95%8F%E9%A1%8C
more guns can reduce crime	https://en.wikipedia.org/wiki/Gun_violence_in_the_United_States	更多的枪支可以减少犯罪	https://zh.wikipedia.org/zh-cn/%E7%BE%8E%E5%9C%8B%E6%A7%8D%E6%A2%B0%E6%9A%B4%E5%8A%9B%E5%95%8F%E9%A1%8C
limiting access to guns by law-abiding people makes them more vulnerable to armed criminals	https://en.wikipedia.org/wiki/Gun_violence_in_the_United_States	限制守法人士取得枪支将使其更易遭武装罪犯的宰割	https://zh.wikipedia.org/zh-cn/%E7%BE%8E%E5%9C%8B%E6%A7%8D%E6%A2%B0%E6%9A%B4%E5%8A%9B%E5%95%8F%E9%A1%8C
potential crime victims might be carrying firearms, and thus serve as a deterrent against crime	https://en.wikipedia.org/wiki/Gun_violence_in_the_United_States	潜在犯罪受害人可能携枪，从而起到对犯罪形成一种威慑	https://zh.wikipedia.org/zh-cn/%E7%BE%8E%E5%9C%8B%E6%A7%8D%E6%A2%B0%E6%9A%B4%E5%8A%9B%E5%95%8F%E9%A1%8C
